BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,Building_age,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,%_LargestPropertyUseType,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SourceEUI(kBtu/sf),%_GFAParking,%_GFABuilding,Nb_PropertyUseTypes
NonResidential,Large Office,98104.0,DOWNTOWN,45,1.0,9,224857,Office,204993.0,0.911659410202929,15272491.0,4047481.0,11225008.0,0.0,390.67,195.6999969,0.0,1.0,1
NonResidential,Large Office,98104.0,DOWNTOWN,18,1.0,8,446261,Office,343400.0,0.7695048413372444,13568148.0,0.0,13568146.0,0.0,94.59,124.0999985,0.27963008194755984,0.7203699180524402,2
NonResidential,Small- and Mid-Sized Office,98134.0,GREATER DUWAMISH,109,1.0,6,62370,Office,49473.0,0.7932178932178933,4353025.0,0.0,4353024.0,0.0,30.35,228.3000031,0.0,1.0,2
NonResidential,Warehouse,98134.0,GREATER DUWAMISH,56,1.0,1,73296,Non-Refrigerated Warehouse,77800.0,1.0614494651822746,2356376.75,0.0,1117577.0,1238800.0,73.58,61.79999924,0.0,1.0,2
NonResidential,Small- and Mid-Sized Office,98134.0,GREATER DUWAMISH,66,1.0,1,93610,Office,101278.0,1.0819143253925863,6235947.0,0.0,3877758.0,2358189.0,152.28,144.0,0.0,1.0,2
NonResidential,Large Office,98108.0,GREATER DUWAMISH,43,1.0,2,156188,Office,141917.0,0.9086293441237483,6843855.0,0.0,6557481.0,286373.0,60.92,147.1999969,0.0,1.0,2
NonResidential,Warehouse,98108.0,GREATER DUWAMISH,50,1.0,1,115620,Non-Refrigerated Warehouse,56900.0,0.4921293893790002,1951856.25,0.0,1951856.0,0.0,13.61,107.6999969,0.0,1.0,1
NonResidential,Large Office,98108.0,GREATER DUWAMISH,41,1.0,5,238148,Office,245240.0,1.0297798007961436,10775646.0,0.0,10775645.0,0.0,75.12,138.0,0.0,1.0,2
NonResidential,Distribution Center,98108.0,GREATER DUWAMISH,47,1.0,1,71718,Distribution Center,71718.0,1.0,151754.2969,0.0,151754.0,0.0,1.06,6.599999905,0.0,1.0,1
NonResidential,Warehouse,98108.0,GREATER DUWAMISH,47,1.0,1,55450,Non-Refrigerated Warehouse,34206.0,0.6168800721370604,4345698.0,0.0,2149197.0,2196501.0,131.64,163.3000031,0.0,1.0,2
NonResidential,Distribution Center,98108.0,GREATER DUWAMISH,37,1.0,1,54880,Distribution Center,55000.0,1.0021865889212829,2763597.0,0.0,1240788.0,1522809.0,89.53,99.90000153,0.0,1.0,1
NonResidential,Retail Store,98126.0,DELRIDGE,24,1.0,1,102500,Retail Store,99471.0,0.9704487804878049,7305474.0,0.0,4972873.0,2332600.0,158.55,181.6000061,0.0,1.0,2
NonResidential,Supermarket / Grocery Store,98144.0,GREATER DUWAMISH,53,1.0,1,50785,Supermarket/Grocery Store,27382.0,0.5391749532342227,7439009.0,0.0,4327325.0,3111684.0,195.43,615.5999756,0.0,1.0,1
NonResidential,Small- and Mid-Sized Office,98106.0,Delridge,87,1.0,3,85126,Office,81526.0,0.9577097479031084,37951708.0,0.0,18610055.0,685132.0,166.13,725.5999756,0.0,1.0,1
NonResidential,Distribution Center,98134.0,GREATER DUWAMISH,30,1.0,1,411584,Distribution Center,288048.0,0.6998522780283004,15091579.0,0.0,7501894.0,7589685.0,455.39,77.40000153,0.0,1.0,3
NonResidential,Large Office,98119.0,MAGNOLIA / QUEEN ANNE,8,1.0,4,242686,Office,149081.0,0.6142958390677665,9683979.0,0.0,9683978.0,0.0,67.51,204.0,0.4127803004705669,0.5872196995294331,2
NonResidential,Small- and Mid-Sized Office,98104.0,DOWNTOWN,116,1.0,6,95760,Office,95760.0,1.0,5392617.5,0.0,4593859.0,798758.0,74.45,159.3999939,0.16541353383458646,0.8345864661654135,1
NonResidential,Warehouse,98134.0,GREATER DUWAMISH,70,1.0,1,179413,Non-Refrigerated Warehouse,178087.0,0.9926092312151293,3459543.0,0.0,3459542.0,0.0,24.12,61.0,0.0,1.0,1
NonResidential,Warehouse,98106.0,Delridge,50,1.0,1,170632,Non-Refrigerated Warehouse,164806.0,0.9658563458202447,602245.0,0.0,602245.0,0.0,4.2,11.10000038,0.0,1.0,2
NonResidential,Large Office,98109.0,MAGNOLIA / QUEEN ANNE,22,1.0,10,381511,Office,220033.0,0.5767409065531531,11410228.0,0.0,10834205.0,576022.0,106.12,157.3999939,0.0,1.0,2
NonResidential,Large Office,98104.0,DOWNTOWN,7,1.0,17,413264,Office,295494.0,0.7150247783499167,13631141.0,0.0,13631140.0,0.0,95.03,144.8000031,0.33416411785202677,0.6658358821479732,2
NonResidential,Mixed Use Property,98105.0,NORTHEAST,7,1.0,6,122400,Office,41624.0,0.3400653594771242,4865551.5,0.0,3880094.0,985457.0,79.39,185.6000061,0.44362745098039214,0.5563725490196079,4
NonResidential,Warehouse,98118.0,GREATER DUWAMISH,50,1.0,2,123000,Non-Refrigerated Warehouse,112484.0,0.9145040650406504,3004271.0,0.0,3004271.0,0.0,20.94,68.90000153,0.0,1.0,2
NonResidential,Medical Office,98122.0,EAST,13,1.0,5,275130,Medical Office,177748.0,0.6460509577290735,9941308.0,0.0,9941307.0,0.0,69.3,175.6000061,0.4106422418493076,0.5893577581506924,1
NonResidential,Warehouse,98136.0,GREATER DUWAMISH,38,1.0,1,60448,Non-Refrigerated Warehouse,52702.0,0.871856802541027,1052244.75,0.0,620853.0,431392.0,27.24,39.70000076,0.0,1.0,2
NonResidential,Medical Office,98122.0,EAST,26,1.0,5,289419,Medical Office,146150.0,0.5049772129680498,12731388.0,0.0,11761550.0,969837.0,133.5,259.7000122,0.5499189756028457,0.4500810243971543,2
NonResidential,Other,98115.0,NORTH,29,1.0,5,90266,Financial Office,87552.0,0.969933308222365,7771933.5,0.0,7771933.0,0.0,54.18,278.7000122,0.0,1.0,1
NonResidential,Warehouse,98107.0,Ballard,12,1.0,4,87332,Non-Refrigerated Warehouse,87332.0,1.0,1165598.875,0.0,1027649.0,137950.0,14.49,38.59999847,0.07394769385792149,0.9260523061420785,1
NonResidential,Hotel,98122.0,EAST,13,1.0,6,150545,Hotel,100528.0,0.667760470291275,13410041.0,0.0,5601497.0,7808543.0,453.76,256.5,0.33223952970872495,0.667760470291275,2
NonResidential,Hotel,98109.0,MAGNOLIA / QUEEN ANNE,8,1.0,5,111856,Hotel,92000.0,0.8224860534973537,9444484.0,0.0,4825247.0,4619236.0,278.97,208.3000031,0.19018201973966528,0.8098179802603347,4
NonResidential,Warehouse,98122.0,EAST,28,1.0,4,132828,Non-Refrigerated Warehouse,132828.0,1.0,1083729.625,0.0,1083729.0,0.0,7.56,25.60000038,0.0,1.0,1
NonResidential,Warehouse,98106.0,DELRIDGE,46,1.0,1,70400,Non-Refrigerated Warehouse,58047.0,0.82453125,13962749.0,0.0,9916987.0,4045761.0,284.01,502.7000122,0.0,1.0,2
